Adapter Name,Banner,Video,Native,Audio,File Path
waardex,Yes,Yes,No,No,modules/waardexBidAdapter.js
welect,No,Yes,No,No,modules/welectBidAdapter.js
widespace,Yes,No,No,No,modules/widespaceBidAdapter.js
winr,Yes,No,No,No,modules/winrBidAdapter.js
wipes,Yes,No,No,No,modules/wipesBidAdapter.js
xe,Yes,Yes,No,No,modules/xeBidAdapter.js
yahooAds,Yes,Yes,No,No,modules/yahooAdsBidAdapter.js
yandex,Yes,Yes,Yes,No,modules/yandexBidAdapter.js
yieldlab,Yes,Yes,Yes,No,modules/yieldlabBidAdapter.js
yieldlift,Yes,No,No,No,modules/yieldliftBidAdapter.js
yieldlove,Yes,No,No,No,modules/yieldloveBidAdapter.js
yieldmo,Yes,Yes,No,No,modules/yieldmoBidAdapter.js
yieldone,Yes,Yes,No,No,modules/yieldoneBidAdapter.js
zeta_global,Yes,No,No,No,modules/zeta_globalBidAdapter.js
zeta_global_ssp,Yes,Yes,No,No,modules/zeta_global_sspBidAdapter.js
zmaticoo,Yes,Yes,No,No,modules/zmaticooBidAdapter.js
