Adapter Name,Banner,Video,Native,Audio,File Path
buzzoola,Yes,Yes,Yes,No,modules/buzzoolaBidAdapter.js
c1x,Yes,No,No,No,modules/c1xBidAdapter.js
cadent_aperture_mx,Yes,Yes,No,No,modules/cadent_aperture_mxBidAdapter.js
caroda,Yes,Yes,No,No,modules/carodaBidAdapter.js
ccx,Yes,Yes,No,No,modules/ccxBidAdapter.js
chtnw,Yes,Yes,Yes,No,modules/chtnwBidAdapter.js
clickforce,Yes,No,Yes,No,modules/clickforceBidAdapter.js
codefuel,Yes,No,No,No,modules/codefuelBidAdapter.js
cointraffic,Yes,No,No,No,modules/cointrafficBidAdapter.js
coinzilla,Yes,No,No,No,modules/coinzillaBidAdapter.js
colombia,Yes,No,No,No,modules/colombiaBidAdapter.js
colossusssp,Yes,Yes,Yes,No,modules/colossussspBidAdapter.js
compass,Yes,Yes,Yes,No,modules/compassBidAdapter.js
conceptx,Yes,No,No,No,modules/conceptxBidAdapter.js
concert,Yes,No,No,No,modules/concertBidAdapter.js
condorx,Yes,No,Yes,No,modules/condorxBidAdapter.js
connatix,Yes,Yes,No,No,modules/connatixBidAdapter.js
connectad,Yes,No,No,No,modules/connectadBidAdapter.js
consumable,Yes,Yes,No,No,modules/consumableBidAdapter.js
contentexchange,Yes,Yes,Yes,No,modules/contentexchangeBidAdapter.js
contxtful,Yes,Yes,Yes,No,modules/contxtfulBidAdapter.js
copper6ssp,Yes,Yes,Yes,No,modules/copper6sspBidAdapter.js
cpmstar,Yes,Yes,No,No,modules/cpmstarBidAdapter.js
craft,Yes,Yes,Yes,No,modules/craftBidAdapter.js
criteo,Yes,Yes,Yes,No,modules/criteoBidAdapter.js
cwire,Yes,No,No,No,modules/cwireBidAdapter.js
dailyhunt,Yes,Yes,Yes,No,modules/dailyhuntBidAdapter.js
dailymotion,No,Yes,No,No,modules/dailymotionBidAdapter.js
datablocks,Yes,No,Yes,No,modules/datablocksBidAdapter.js
datawrkz,Yes,Yes,Yes,No,modules/datawrkzBidAdapter.js
deepintent,Yes,Yes,No,No,modules/deepintentBidAdapter.js
deltaprojects,Yes,No,No,No,modules/deltaprojectsBidAdapter.js
dexerto,Yes,No,No,No,modules/dexertoBidAdapter.js
dianomi,Yes,Yes,Yes,No,modules/dianomiBidAdapter.js
digitalMatter,Yes,No,No,No,modules/digitalMatterBidAdapter.js
digitalcaramel,Yes,Yes,No,No,modules/digitalcaramelBidAdapter.js
discovery,Yes,No,Yes,No,modules/discoveryBidAdapter.js
displayio,Yes,Yes,No,No,modules/displayioBidAdapter.js
distroscale,Yes,No,No,No,modules/distroscaleBidAdapter.js
djax,Yes,Yes,No,No,modules/djaxBidAdapter.js
doceree,Yes,No,No,No,modules/docereeBidAdapter.js
docereeAdManager,Yes,No,No,No,modules/docereeAdManagerBidAdapter.js
dochase,Yes,No,Yes,No,modules/dochaseBidAdapter.js
driftpixel,Yes,Yes,No,No,modules/driftpixelBidAdapter.js
dsp_geniee,Yes,No,No,No,modules/dsp_genieeBidAdapter.js
dspx,Yes,Yes,Yes,No,modules/dspxBidAdapter.js
dvgroup,Yes,Yes,No,No,modules/dvgroupBidAdapter.js
dxkulture,Yes,Yes,No,No,modules/dxkultureBidAdapter.js
dxtech,Yes,Yes,No,No,modules/dxtechBidAdapter.js
